text,label,clean,token_count,sentence_count,tokens,sentences
زین نے تمہیں وہ دیا,,زین نے تمہیں وہ دیا,5,1,زین | نے | تمہیں | وہ | دیا,زین نے تمہیں وہ دیا۔
آؤ اٹھو,,آؤ اٹھو,2,1,آؤ | اٹھو,آؤ اٹھو۔
زین کو سیڑھی کی ضرورت ہے۔,,زین کو سیڑھی کی ضرورت ہے۔,7,1,زین | کو | سیڑھی | کی | ضرورت | ہے | ۔,زین کو سیڑھی کی ضرورت ہے۔
میں ابھی تک نہیں تھکا,,میں ابھی تک نہیں تھکا,5,1,میں | ابھی | تک | نہیں | تھکا,میں ابھی تک نہیں تھکا۔
میں بہت تھکا ہوا ہوں,,میں بہت تھکا ہوا ہوں,5,1,میں | بہت | تھکا | ہوا | ہوں,میں بہت تھکا ہوا ہوں۔
وہ توانائی سے بھرا ہوا ہے,,وہ توانائی سے بھرا ہوا ہے,6,1,وہ | توانائی | سے | بھرا | ہوا | ہے,وہ توانائی سے بھرا ہوا ہے۔
مجھے کوئی پریشانی نہیں ہے۔,,مجھے کوئی پریشانی نہیں ہے۔,6,1,مجھے | کوئی | پریشانی | نہیں | ہے | ۔,مجھے کوئی پریشانی نہیں ہے۔
میرا کوٹ کہاں ہے,,میرا کوٹ کہاں ہے,4,1,میرا | کوٹ | کہاں | ہے,میرا کوٹ کہاں ہے۔
میں کھیل ہوں,,میں کھیل ہوں,3,1,میں | کھیل | ہوں,میں کھیل ہوں۔
وہ اسے بہت پسند کرتا ہے,,وہ اسے بہت پسند کرتا ہے,6,1,وہ | اسے | بہت | پسند | کرتا | ہے,وہ اسے بہت پسند کرتا ہے۔
میں چین سے آیا ہوں۔,,میں چین سے آیا ہوں۔,6,1,میں | چین | سے | آیا | ہوں | ۔,میں چین سے آیا ہوں۔
وہ ایک بری جھوٹی ہے,,وہ ایک بری جھوٹی ہے,5,1,وہ | ایک | بری | جھوٹی | ہے,وہ ایک بری جھوٹی ہے۔
گلاب کی خوشبو اچھی ہے,,گلاب کی خوشبو اچھی ہے,5,1,گلاب | کی | خوشبو | اچھی | ہے,گلاب کی خوشبو اچھی ہے۔
کسی نے ٹام کو نہیں دیکھا,,کسی نے ٹام کو نہیں دیکھا,6,1,کسی | نے | ٹام | کو | نہیں | دیکھا,کسی نے ٹام کو نہیں دیکھا۔
وہ نہیں جائے گا,,وہ نہیں جائے گا,4,1,وہ | نہیں | جائے | گا,وہ نہیں جائے گا۔
مجھے اس پر شک نہیں ہے۔,,مجھے اس پر شک نہیں ہے۔,7,1,مجھے | اس | پر | شک | نہیں | ہے | ۔,مجھے اس پر شک نہیں ہے۔
یہ پھینکی ہوئی قیمت پر فروخت ہو رہا ہے۔,,یہ پھینکی ہوئی قیمت پر فروخت ہو رہا ہے۔,10,1,یہ | پھینکی | ہوئی | قیمت | پر | فروخت | ہو | رہا | ہے | ۔,یہ پھینکی ہوئی قیمت پر فروخت ہو رہا ہے۔
آئیے اسے آزمائیں,,آئیے اسے آزمائیں,3,1,آئیے | اسے | آزمائیں,آئیے اسے آزمائیں۔
آپ ایک ڈاکٹر ہو,,آپ ایک ڈاکٹر ہو,4,1,آپ | ایک | ڈاکٹر | ہو,آپ ایک ڈاکٹر ہو۔
میرے خیال میں زین نارمل ہے۔,,میرے خیال میں زین نارمل ہے۔,7,1,میرے | خیال | میں | زین | نارمل | ہے | ۔,میرے خیال میں زین نارمل ہے۔
کیا یہ سفید ہے؟,,کیا یہ سفید ہے؟,5,1,کیا | یہ | سفید | ہے | ؟,کیا یہ سفید ہے؟
ہنگامہ کیا ہے,,ہنگامہ کیا ہے,3,1,ہنگامہ | کیا | ہے,ہنگامہ کیا ہے۔
اسے ڈپلیکیٹ میں بھیجیں۔,,اسے ڈپلیکیٹ میں بھیجیں۔,5,1,اسے | ڈپلیکیٹ | میں | بھیجیں | ۔,اسے ڈپلیکیٹ میں بھیجیں۔
موت کی شرح بڑھ رہی ہے,,موت کی شرح بڑھ رہی ہے,6,1,موت | کی | شرح | بڑھ | رہی | ہے,موت کی شرح بڑھ رہی ہے۔
تم نے اسے کیوں خریدا,,تم نے اسے کیوں خریدا,5,1,تم | نے | اسے | کیوں | خریدا,تم نے اسے کیوں خریدا۔
وہ آٹھ ہے,,وہ آٹھ ہے,3,1,وہ | آٹھ | ہے,وہ آٹھ ہے۔
کیا آپ اور زین قریب ہیں؟,,کیا آپ اور زین قریب ہیں؟,7,1,کیا | آپ | اور | زین | قریب | ہیں | ؟,کیا آپ اور زین قریب ہیں؟
وہ خوش نہیں تھا,,وہ خوش نہیں تھا,4,1,وہ | خوش | نہیں | تھا,وہ خوش نہیں تھا۔
زین نے غلطی کی,,زین نے غلطی کی,4,1,زین | نے | غلطی | کی,زین نے غلطی کی۔
میں آپ کو کہاں لے جا سکتا ہوں,,میں آپ کو کہاں لے جا سکتا ہوں,8,1,میں | آپ | کو | کہاں | لے | جا | سکتا | ہوں,میں آپ کو کہاں لے جا سکتا ہوں۔
کیا آپ سی میں پروگرام کر سکتے ہیں؟,,کیا آپ سی میں پروگرام کر سکتے ہیں؟,9,1,کیا | آپ | سی | میں | پروگرام | کر | سکتے | ہیں | ؟,کیا آپ سی میں پروگرام کر سکتے ہیں؟
اٹلی ایک جزیرہ نما ہے,,اٹلی ایک جزیرہ نما ہے,5,1,اٹلی | ایک | جزیرہ | نما | ہے,اٹلی ایک جزیرہ نما ہے۔
زین نے ایسا کیوں کیا,,زین نے ایسا کیوں کیا,5,1,زین | نے | ایسا | کیوں | کیا,زین نے ایسا کیوں کیا۔
تم مذاق کر رہے ہو,,تم مذاق کر رہے ہو,5,1,تم | مذاق | کر | رہے | ہو,تم مذاق کر رہے ہو۔
مجھے ایک دن دو,,مجھے ایک دن دو,4,1,مجھے | ایک | دن | دو,مجھے ایک دن دو۔
اوہ دل رکھو,,اوہ دل رکھو,3,1,اوہ | دل | رکھو,اوہ دل رکھو۔
تشدد غلط ہے,,تشدد غلط ہے,3,1,تشدد | غلط | ہے,تشدد غلط ہے۔
زین ایک اچھا گلوکار ہے۔,,زین ایک اچھا گلوکار ہے۔,6,1,زین | ایک | اچھا | گلوکار | ہے | ۔,زین ایک اچھا گلوکار ہے۔
میں اس پر کام کر رہا ہوں۔,,میں اس پر کام کر رہا ہوں۔,8,1,میں | اس | پر | کام | کر | رہا | ہوں | ۔,میں اس پر کام کر رہا ہوں۔
انہوں نے جھوٹ بولا,,انہوں نے جھوٹ بولا,4,1,انہوں | نے | جھوٹ | بولا,انہوں نے جھوٹ بولا۔
اس نے مجھے ارد گرد دکھایا,,اس نے مجھے ارد گرد دکھایا,6,1,اس | نے | مجھے | ارد | گرد | دکھایا,اس نے مجھے ارد گرد دکھایا۔
کیاآپ نے یہ دیکھا ہے,,کیاآپ نے یہ دیکھا ہے,5,1,کیاآپ | نے | یہ | دیکھا | ہے,کیاآپ نے یہ دیکھا ہے۔
کچھ روٹی دو,,کچھ روٹی دو,3,1,کچھ | روٹی | دو,کچھ روٹی دو۔
میں صرف یہاں کام کرتا ہوں۔,,میں صرف یہاں کام کرتا ہوں۔,7,1,میں | صرف | یہاں | کام | کرتا | ہوں | ۔,میں صرف یہاں کام کرتا ہوں۔
میں سٹیک کھانا چاہتا ہوں۔,,میں سٹیک کھانا چاہتا ہوں۔,6,1,میں | سٹیک | کھانا | چاہتا | ہوں | ۔,میں سٹیک کھانا چاہتا ہوں۔
زین گر گیا,,زین گر گیا,3,1,زین | گر | گیا,زین گر گیا۔
کیا میں شراب پی سکتا ہوں؟,,کیا میں شراب پی سکتا ہوں؟,7,1,کیا | میں | شراب | پی | سکتا | ہوں | ؟,کیا میں شراب پی سکتا ہوں؟
کتنا اچھا خیال ہے,,کتنا اچھا خیال ہے,4,1,کتنا | اچھا | خیال | ہے,کتنا اچھا خیال ہے۔
میں شاید ہی ٹام کو جانتا تھا۔,,میں شاید ہی ٹام کو جانتا تھا۔,8,1,میں | شاید | ہی | ٹام | کو | جانتا | تھا | ۔,میں شاید ہی ٹام کو جانتا تھا۔
شکائیتیں لگانا بند کرو,,شکائیتیں لگانا بند کرو,4,1,شکائیتیں | لگانا | بند | کرو,شکائیتیں لگانا بند کرو۔
زین میرے قریب رہتا ہے۔,,زین میرے قریب رہتا ہے۔,6,1,زین | میرے | قریب | رہتا | ہے | ۔,زین میرے قریب رہتا ہے۔
ہمیں محتاط رہنا چاہیے,,ہمیں محتاط رہنا چاہیے,4,1,ہمیں | محتاط | رہنا | چاہیے,ہمیں محتاط رہنا چاہیے۔
مدد کرنے کے لئے یہاں تھے,,مدد کرنے کے لئے یہاں تھے,6,1,مدد | کرنے | کے | لئے | یہاں | تھے,مدد کرنے کے لئے یہاں تھے۔
مجھے کچھ کاغذ چاہیے,,مجھے کچھ کاغذ چاہیے,4,1,مجھے | کچھ | کاغذ | چاہیے,مجھے کچھ کاغذ چاہیے۔
میں نے اپنی چابی کھو دی ہے۔,,میں نے اپنی چابی کھو دی ہے۔,8,1,میں | نے | اپنی | چابی | کھو | دی | ہے | ۔,میں نے اپنی چابی کھو دی ہے۔
اس نے اسے ایک لطیفہ سنایا,,اس نے اسے ایک لطیفہ سنایا,6,1,اس | نے | اسے | ایک | لطیفہ | سنایا,اس نے اسے ایک لطیفہ سنایا۔
آپ کو سردی لگ جائے گی۔,,آپ کو سردی لگ جائے گی۔,7,1,آپ | کو | سردی | لگ | جائے | گی | ۔,آپ کو سردی لگ جائے گی۔
مزید کی ضرورت ہے,,مزید کی ضرورت ہے,4,1,مزید | کی | ضرورت | ہے,مزید کی ضرورت ہے۔
وہ اور صرف وہی پوری حقیقت جانتا ہے۔,,وہ اور صرف وہی پوری حقیقت جانتا ہے۔,9,1,وہ | اور | صرف | وہی | پوری | حقیقت | جانتا | ہے | ۔,وہ اور صرف وہی پوری حقیقت جانتا ہے۔
زین نیچے ہے,,زین نیچے ہے,3,1,زین | نیچے | ہے,زین نیچے ہے۔
براہ کرم مجھے کرنے دیں۔,,براہ کرم مجھے کرنے دیں۔,6,1,براہ | کرم | مجھے | کرنے | دیں | ۔,براہ کرم مجھے کرنے دیں۔
میں یہ لطیفہ جانتا ہوں۔,,میں یہ لطیفہ جانتا ہوں۔,6,1,میں | یہ | لطیفہ | جانتا | ہوں | ۔,میں یہ لطیفہ جانتا ہوں۔
اپنا سر نیچے رکھو,,اپنا سر نیچے رکھو,4,1,اپنا | سر | نیچے | رکھو,اپنا سر نیچے رکھو۔
زین شاندار ہے,,زین شاندار ہے,3,1,زین | شاندار | ہے,زین شاندار ہے۔
مجھے ہری مرچ پسند ہے۔,,مجھے ہری مرچ پسند ہے۔,6,1,مجھے | ہری | مرچ | پسند | ہے | ۔,مجھے ہری مرچ پسند ہے۔
آپ جانے کے لیے آزاد ہیں۔,,آپ جانے کے لیے آزاد ہیں۔,7,1,آپ | جانے | کے | لیے | آزاد | ہیں | ۔,آپ جانے کے لیے آزاد ہیں۔
کھانے تیار ہیں,,کھانے تیار ہیں,3,1,کھانے | تیار | ہیں,کھانے تیار ہیں۔
اسی دوران,,اسی دوران,2,1,اسی | دوران,اسی دوران۔
میری کتابیں کہاں ہیں؟,,میری کتابیں کہاں ہیں؟,5,1,میری | کتابیں | کہاں | ہیں | ؟,میری کتابیں کہاں ہیں؟
کچھ دیر انتظار,,کچھ دیر انتظار,3,1,کچھ | دیر | انتظار,کچھ دیر انتظار۔
مجھے سیب چھیلنا پسند ہے۔,,مجھے سیب چھیلنا پسند ہے۔,6,1,مجھے | سیب | چھیلنا | پسند | ہے | ۔,مجھے سیب چھیلنا پسند ہے۔
کیا آپ مجرم محسوس کرتے ہیں؟,,کیا آپ مجرم محسوس کرتے ہیں؟,7,1,کیا | آپ | مجرم | محسوس | کرتے | ہیں | ؟,کیا آپ مجرم محسوس کرتے ہیں؟
کیا آپ نے میری بات سمجھ لی؟,,کیا آپ نے میری بات سمجھ لی؟,8,1,کیا | آپ | نے | میری | بات | سمجھ | لی | ؟,کیا آپ نے میری بات سمجھ لی؟
زین آہستہ سے کام کرتا ہے۔,,زین آہستہ سے کام کرتا ہے۔,7,1,زین | آہستہ | سے | کام | کرتا | ہے | ۔,زین آہستہ سے کام کرتا ہے۔
مجھے مزید نہیں چاہیے,,مجھے مزید نہیں چاہیے,4,1,مجھے | مزید | نہیں | چاہیے,مجھے مزید نہیں چاہیے۔
اس پر کبھی شک نہ کرو,,اس پر کبھی شک نہ کرو,6,1,اس | پر | کبھی | شک | نہ | کرو,اس پر کبھی شک نہ کرو۔
یہ واقعی ہوا تھا,,یہ واقعی ہوا تھا,4,1,یہ | واقعی | ہوا | تھا,یہ واقعی ہوا تھا۔
اس نے مجھ سے مدد مانگی۔,,اس نے مجھ سے مدد مانگی۔,7,1,اس | نے | مجھ | سے | مدد | مانگی | ۔,اس نے مجھ سے مدد مانگی۔
آپ کس کے دوست ہیں؟,,آپ کس کے دوست ہیں؟,6,1,آپ | کس | کے | دوست | ہیں | ؟,آپ کس کے دوست ہیں؟
اس نے ایک خوبصورت لڑکی کو دیکھا,,اس نے ایک خوبصورت لڑکی کو دیکھا,7,1,اس | نے | ایک | خوبصورت | لڑکی | کو | دیکھا,اس نے ایک خوبصورت لڑکی کو دیکھا۔
زین نے مریم کو نظر انداز کیا۔,,زین نے مریم کو نظر انداز کیا۔,8,1,زین | نے | مریم | کو | نظر | انداز | کیا | ۔,زین نے مریم کو نظر انداز کیا۔
میری ماں کو مت بتانا,,میری ماں کو مت بتانا,5,1,میری | ماں | کو | مت | بتانا,میری ماں کو مت بتانا۔
اس نے خود کو پھانسی دی,,اس نے خود کو پھانسی دی,6,1,اس | نے | خود | کو | پھانسی | دی,اس نے خود کو پھانسی دی۔
وہ سچ جانتا ہے,,وہ سچ جانتا ہے,4,1,وہ | سچ | جانتا | ہے,وہ سچ جانتا ہے۔
میں تہہ خانے میں چھپ گیا۔,,میں تہہ خانے میں چھپ گیا۔,7,1,میں | تہہ | خانے | میں | چھپ | گیا | ۔,میں تہہ خانے میں چھپ گیا۔
ہم نے پول میں تیراکی کا مزہ کیا۔,,ہم نے پول میں تیراکی کا مزہ کیا۔,9,1,ہم | نے | پول | میں | تیراکی | کا | مزہ | کیا | ۔,ہم نے پول میں تیراکی کا مزہ کیا۔
خاموش رہنے دو,,خاموش رہنے دو,3,1,خاموش | رہنے | دو,خاموش رہنے دو۔
زین نے بیئر کھولی۔,,زین نے بیئر کھولی۔,5,1,زین | نے | بیئر | کھولی | ۔,زین نے بیئر کھولی۔
میں نے سنا کیا ہوا,,میں نے سنا کیا ہوا,5,1,میں | نے | سنا | کیا | ہوا,میں نے سنا کیا ہوا۔
زین اوپر کی طرف بھاگا۔,,زین اوپر کی طرف بھاگا۔,6,1,زین | اوپر | کی | طرف | بھاگا | ۔,زین اوپر کی طرف بھاگا۔
آپ کو سردی نہیں لگتی,,آپ کو سردی نہیں لگتی,5,1,آپ | کو | سردی | نہیں | لگتی,آپ کو سردی نہیں لگتی۔
میں کھڑا ہوں,,میں کھڑا ہوں,3,1,میں | کھڑا | ہوں,میں کھڑا ہوں۔
کیا میں آپ کا فون استعمال کر سکتا ہوں؟,,کیا میں آپ کا فون استعمال کر سکتا ہوں؟,10,1,کیا | میں | آپ | کا | فون | استعمال | کر | سکتا | ہوں | ؟,کیا میں آپ کا فون استعمال کر سکتا ہوں؟
تم اسے کیوں لائے ہو,,تم اسے کیوں لائے ہو,5,1,تم | اسے | کیوں | لائے | ہو,تم اسے کیوں لائے ہو۔
میں جلد ہی آپ کو پکڑوں گا۔,,میں جلد ہی آپ کو پکڑوں گا۔,8,1,میں | جلد | ہی | آپ | کو | پکڑوں | گا | ۔,میں جلد ہی آپ کو پکڑوں گا۔
زین یہاں آیا,,زین یہاں آیا,3,1,زین | یہاں | آیا,زین یہاں آیا۔
صاف صاف بولیں,,صاف صاف بولیں,3,1,صاف | صاف | بولیں,صاف صاف بولیں۔
اپنا پرس مت کھونا,,اپنا پرس مت کھونا,4,1,اپنا | پرس | مت | کھونا,اپنا پرس مت کھونا۔
میں نے منصفانہ اور مربع جیت لیا,,میں نے منصفانہ اور مربع جیت لیا,7,1,میں | نے | منصفانہ | اور | مربع | جیت | لیا,میں نے منصفانہ اور مربع جیت لیا۔
میں آپ کے لئے ادائیگی کروں گا,,میں آپ کے لئے ادائیگی کروں گا,7,1,میں | آپ | کے | لئے | ادائیگی | کروں | گا,میں آپ کے لئے ادائیگی کروں گا۔
جس کی طرف زین ہے۔,,جس کی طرف زین ہے۔,6,1,جس | کی | طرف | زین | ہے | ۔,جس کی طرف زین ہے۔
کیا میں پہلے جا سکتا ہوں؟,,کیا میں پہلے جا سکتا ہوں؟,7,1,کیا | میں | پہلے | جا | سکتا | ہوں | ؟,کیا میں پہلے جا سکتا ہوں؟
اپنے منہ کو زپ کرو,,اپنے منہ کو زپ کرو,5,1,اپنے | منہ | کو | زپ | کرو,اپنے منہ کو زپ کرو۔
میں نے اس کا لطف اٹھایا ہے۔,,میں نے اس کا لطف اٹھایا ہے۔,8,1,میں | نے | اس | کا | لطف | اٹھایا | ہے | ۔,میں نے اس کا لطف اٹھایا ہے۔
زین نے آپ کو دھکا دیا؟,,زین نے آپ کو دھکا دیا؟,7,1,زین | نے | آپ | کو | دھکا | دیا | ؟,زین نے آپ کو دھکا دیا؟
زین اچھا نہیں لگتا,,زین اچھا نہیں لگتا,4,1,زین | اچھا | نہیں | لگتا,زین اچھا نہیں لگتا۔
زین آپ پر بھروسہ کرتا ہے۔,,زین آپ پر بھروسہ کرتا ہے۔,7,1,زین | آپ | پر | بھروسہ | کرتا | ہے | ۔,زین آپ پر بھروسہ کرتا ہے۔
ہمیں آپ کی مدد کی ضرورت کیوں ہے؟,,ہمیں آپ کی مدد کی ضرورت کیوں ہے؟,9,1,ہمیں | آپ | کی | مدد | کی | ضرورت | کیوں | ہے | ؟,ہمیں آپ کی مدد کی ضرورت کیوں ہے؟
مجھے لگ رہا ہے کہ وہ آج آئے گی۔,,مجھے لگ رہا ہے کہ وہ آج آئے گی۔,10,1,مجھے | لگ | رہا | ہے | کہ | وہ | آج | آئے | گی | ۔,مجھے لگ رہا ہے کہ وہ آج آئے گی۔
میرا وقت ضائع مت کرو,,میرا وقت ضائع مت کرو,5,1,میرا | وقت | ضائع | مت | کرو,میرا وقت ضائع مت کرو۔
تم کر سکتے ہو,,تم کر سکتے ہو,4,1,تم | کر | سکتے | ہو,تم کر سکتے ہو۔
کیا یہ واقعی سچ ہے؟,,کیا یہ واقعی سچ ہے؟,6,1,کیا | یہ | واقعی | سچ | ہے | ؟,کیا یہ واقعی سچ ہے؟
آپ کو پسینہ آ رہا ہے. یا آپ میٹھا کر رہے ہیں؟,,آپ کو پسینہ آ رہا ہے یا آپ میٹھا کر رہے ہیں؟,13,1,آپ | کو | پسینہ | آ | رہا | ہے | یا | آپ | میٹھا | کر | رہے | ہیں | ؟,آپ کو پسینہ آ رہا ہے یا آپ میٹھا کر رہے ہیں؟
جی ہاں، ہر طرح سے,,جی ہاں، ہر طرح سے,6,1,جی | ہاں | ، | ہر | طرح | سے,جی ہاں، ہر طرح سے۔
آؤ میرے ساتھ گاؤ,,آؤ میرے ساتھ گاؤ,4,1,آؤ | میرے | ساتھ | گاؤ,آؤ میرے ساتھ گاؤ۔
وہ کامل تھا,,وہ کامل تھا,3,1,وہ | کامل | تھا,وہ کامل تھا۔
اس نے مدد کے لیے پکارا۔,,اس نے مدد کے لیے پکارا۔,7,1,اس | نے | مدد | کے | لیے | پکارا | ۔,اس نے مدد کے لیے پکارا۔
زین برداشت نہیں کر سکتا,,زین برداشت نہیں کر سکتا,5,1,زین | برداشت | نہیں | کر | سکتا,زین برداشت نہیں کر سکتا۔
جو ہو جائے، میں اس سے بات نہیں کروں گا۔,,جو ہو جائے، میں اس سے بات نہیں کروں گا۔,12,1,جو | ہو | جائے | ، | میں | اس | سے | بات | نہیں | کروں | گا | ۔,جو ہو جائے، میں اس سے بات نہیں کروں گا۔
کیا یہ ایک تعریف ہے؟,,کیا یہ ایک تعریف ہے؟,6,1,کیا | یہ | ایک | تعریف | ہے | ؟,کیا یہ ایک تعریف ہے؟
اب تم میرا مقروض ہو۔,,اب تم میرا مقروض ہو۔,6,1,اب | تم | میرا | مقروض | ہو | ۔,اب تم میرا مقروض ہو۔
ہم نے اس کے ساتھ مزہ کیا,,ہم نے اس کے ساتھ مزہ کیا,7,1,ہم | نے | اس | کے | ساتھ | مزہ | کیا,ہم نے اس کے ساتھ مزہ کیا۔
زین سو نہیں سکا,,زین سو نہیں سکا,4,1,زین | سو | نہیں | سکا,زین سو نہیں سکا۔
میں شاید جیسا کہ ہم اب جائیں گے۔,,میں شاید جیسا کہ ہم اب جائیں گے۔,9,1,میں | شاید | جیسا | کہ | ہم | اب | جائیں | گے | ۔,میں شاید جیسا کہ ہم اب جائیں گے۔
میں ایک بڑھئی ہوں۔,,میں ایک بڑھئی ہوں۔,5,1,میں | ایک | بڑھئی | ہوں | ۔,میں ایک بڑھئی ہوں۔
آج بہت گرمی ہے، ہے نا؟,,آج بہت گرمی ہے، ہے نا؟,8,1,آج | بہت | گرمی | ہے | ، | ہے | نا | ؟,آج بہت گرمی ہے، ہے نا؟
میں آپ کے ساتھ نہیں آ سکتا,,میں آپ کے ساتھ نہیں آ سکتا,7,1,میں | آپ | کے | ساتھ | نہیں | آ | سکتا,میں آپ کے ساتھ نہیں آ سکتا۔
زین جانتا ہے کہ میں گھر پر ہوں۔,,زین جانتا ہے کہ میں گھر پر ہوں۔,9,1,زین | جانتا | ہے | کہ | میں | گھر | پر | ہوں | ۔,زین جانتا ہے کہ میں گھر پر ہوں۔
میں نے پہلے ہی یہ کیا,,میں نے پہلے ہی یہ کیا,6,1,میں | نے | پہلے | ہی | یہ | کیا,میں نے پہلے ہی یہ کیا۔
زین نے مریم کو تسلی دی۔,,زین نے مریم کو تسلی دی۔,7,1,زین | نے | مریم | کو | تسلی | دی | ۔,زین نے مریم کو تسلی دی۔
زین آ سکتا ہے۔,,زین آ سکتا ہے۔,5,1,زین | آ | سکتا | ہے | ۔,زین آ سکتا ہے۔
تلاش کرتے رہیں,,تلاش کرتے رہیں,3,1,تلاش | کرتے | رہیں,تلاش کرتے رہیں۔
کیا اس نے کچھ کہا؟,,کیا اس نے کچھ کہا؟,6,1,کیا | اس | نے | کچھ | کہا | ؟,کیا اس نے کچھ کہا؟
زین فیصلہ کرے گا,,زین فیصلہ کرے گا,4,1,زین | فیصلہ | کرے | گا,زین فیصلہ کرے گا۔
زین نے مجھے مایوس کیا۔,,زین نے مجھے مایوس کیا۔,6,1,زین | نے | مجھے | مایوس | کیا | ۔,زین نے مجھے مایوس کیا۔
اسے نظرانداز کرو,,اسے نظرانداز کرو,3,1,اسے | نظرانداز | کرو,اسے نظرانداز کرو۔
میں پیرس میں ہوں,,میں پیرس میں ہوں,4,1,میں | پیرس | میں | ہوں,میں پیرس میں ہوں۔
اسے وہ مل گیا جو وہ چاہتا تھا۔,,اسے وہ مل گیا جو وہ چاہتا تھا۔,9,2,اسے | وہ | مل | گیا | جو | وہ | چاہتا | تھا | ۔,اسے وہ مل گیا۔ || جو وہ چاہتا تھا۔
زین کو کرنا پڑا,,زین کو کرنا پڑا,4,1,زین | کو | کرنا | پڑا,زین کو کرنا پڑا۔
زین نے خود سے سلوک کیا۔,,زین نے خود سے سلوک کیا۔,7,1,زین | نے | خود | سے | سلوک | کیا | ۔,زین نے خود سے سلوک کیا۔
وہ تیس سال کی ہے۔,,وہ تیس سال کی ہے۔,6,1,وہ | تیس | سال | کی | ہے | ۔,وہ تیس سال کی ہے۔
صرف بستر پر واپس جاؤ,,صرف بستر پر واپس جاؤ,5,1,صرف | بستر | پر | واپس | جاؤ,صرف بستر پر واپس جاؤ۔
میں تمہیں دیکھنے کے لیے مر رہا ہوں۔,,میں تمہیں دیکھنے کے لیے مر رہا ہوں۔,9,1,میں | تمہیں | دیکھنے | کے | لیے | مر | رہا | ہوں | ۔,میں تمہیں دیکھنے کے لیے مر رہا ہوں۔
وہ بہت محنت کرتا ہے,,وہ بہت محنت کرتا ہے,5,1,وہ | بہت | محنت | کرتا | ہے,وہ بہت محنت کرتا ہے۔
میں بزدل ہوں,,میں بزدل ہوں,3,1,میں | بزدل | ہوں,میں بزدل ہوں۔
زین کبھی سرخ نہیں پہنتا,,زین کبھی سرخ نہیں پہنتا,5,1,زین | کبھی | سرخ | نہیں | پہنتا,زین کبھی سرخ نہیں پہنتا۔
